level_0,index,Address,Area,Broker,Broker_Company,Distance,New,Price,Price/m2,Rooms,Title,url,lon,lat,Street,StreetNumber,Neigh,City,Construction_Year,Type,Zip_Region,bathroom,Modernization,Precision
0,140,"Schönholzer Straße 3, Pankow (Ortsteil), Berlin",90.0,Herr Jungnitsch,IMMETRO GmbH,0.06,0.0,465.0,5.167000000000002,3 ,3 Zimmer DG-Wohnung in Berlin-Pankow,https://www.immobilienscout24.de/expose/120222270,13.3982843,52.5708789,Schönholzer Straße,3.0, Pankow (Ortsteil), Berlin,, Dachgeschoss ,"13187 Berlin, Pankow (Ortsteil)",1.0, zuletzt 2018 ,1.0
1,14,"Wollankstraße 127, Pankow (Ortsteil), Berlin",41.3,Team Wollankstraße,Kolarski real estate & trading GmbH,0.23,0.0,167.0,4.044,1 ,Bezugsfrei: 1-Zimmer-Wohnung in einem traumhaften Altbau,https://www.immobilienscout24.de/expose/122758648,13.3933419,52.5645093,Wollankstraße,127.0, Pankow (Ortsteil), Berlin,1900.0, Etagenwohnung ,"13187 Berlin, Pankow (Ortsteil)",1.0,,1.0
2,58,"Wollankstraße 127, Pankow (Ortsteil), Berlin",62.84,Team Wollankstraße,Kolarski real estate & trading GmbH,0.23,0.0,240.0,3.819,2 ,Renovierungsbedürftig: 2-Zimmer-Wohnung in einem traumhaften Altbau,https://www.immobilienscout24.de/expose/122758652,13.3933419,52.5645093,Wollankstraße,127.0, Pankow (Ortsteil), Berlin,1900.0, Erdgeschosswohnung ,"13187 Berlin, Pankow (Ortsteil)",1.0,,1.0
3,12,"Wollankstraße 127, Pankow (Ortsteil), Berlin",41.39,Team Wollankstraße,Kolarski real estate & trading GmbH,0.23,0.0,165.0,3.986,1 ,Bezugsfrei: 1-Zimmer-Wohnung in einem traumhaften Altbau,https://www.immobilienscout24.de/expose/122782171,13.3933419,52.5645093,Wollankstraße,127.0, Pankow (Ortsteil), Berlin,1900.0, Etagenwohnung ,"13187 Berlin, Pankow (Ortsteil)",1.0,,1.0
4,216,"Pankow (Ortsteil), Berlin",133.0,von privat,,0.25,0.0,995.0,7.481,4 ,"Bezugsfreie 4 Zi-Gründerzeit in früherer Botschaft, 2 Balkone, 2. OG, Gas-Zentral,",https://www.immobilienscout24.de/expose/107643905,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,1907.0, Etagenwohnung ,"13187 Berlin, Pankow (Ortsteil)",2.0, zuletzt 2018 ,0.0
5,213,"Pankow (Ortsteil), Berlin",138.0,Herr Marcus Korn,ALLGEMEINE IMMOBILIEN-BÖRSE GMBH,0.25,0.0,950.0,6.884,3 ,EXKLUSIVES ARCHITEKTEN-UNIKAT mit Roof-Top-Terrasse in besonderer Bauweise-vis a vis vom Schloßpark!,https://www.immobilienscout24.de/expose/119183629,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,2019.0, Etagenwohnung ,"13187 Berlin, Pankow (Ortsteil)",,,0.0
6,150,"Pankow (Ortsteil), Berlin",81.0,Herr Marcus Korn,ALLGEMEINE IMMOBILIEN-BÖRSE GMBH,0.36,0.0,495.0,6.1110000000000015,3 ,ERSTKLASSIGE 3-ZI.-GARTEN-WOHNUNG im ARCHITEKTENHAUS mit zwei Privatgärten- vis a vis vom Park!,https://www.immobilienscout24.de/expose/116993908,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,2020.0, Etagenwohnung ,"13187 Berlin, Pankow (Ortsteil)",,,0.0
7,190,"Pankow (Ortsteil), Berlin",118.0,Engel & Völkers Berlin Prenzlauer Berg,Engel & Völkers Berlin Mitte GmbH,0.36,1.0,690.0,5.847,3 ,NEUHelle Dachgeschosswohnung mit Weitblick!,https://www.immobilienscout24.de/expose/122938234,13.4030903,52.5660169,,,Pankow (Ortsteil), Berlin,1900.0, Dachgeschoss ,"13187 Berlin, Pankow (Ortsteil)",2.0, zuletzt 2020 ,0.0
8,141,"Neue Schönholzer Straße 15, Pankow (Ortsteil), Berlin",73.85,Frau Vanessa Wegner,EverEstate GmbH,0.41,0.0,473.135,6.407,"2,5 ","Provisionsfrei: Modernisierte 2,5-Zimmer-Wohnung mit charmanten Altbaudetails",https://www.immobilienscout24.de/expose/122259983,13.4015862,52.5690431,Neue Schönholzer Straße,15.0, Pankow (Ortsteil), Berlin,1900.0, Hochparterre ,"13187 Berlin, Pankow (Ortsteil)",1.0, zuletzt 2020 ,1.0
9,132,"Neue Schönholzer Straße 15, Pankow (Ortsteil), Berlin",63.65,Frau Vanessa Wegner,EverEstate GmbH,0.41,0.0,410.543,6.45,2 ,Provisionsfrei: 2-Zimmer-Wohnung mit ruhiger Ost-Loggia und Altbaudetails,https://www.immobilienscout24.de/expose/122260033,13.4015862,52.5690431,Neue Schönholzer Straße,15.0, Pankow (Ortsteil), Berlin,1900.0, Etagenwohnung ,"13187 Berlin, Pankow (Ortsteil)",1.0,,1.0
